"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1.35653516010081,1.20122864244507,1.20220066786946,1.20252089378975,1.35555802089347,1.19775119393911,1.19775119393911,1.19775119393911
"2",1.34774354331714,1.18740862014174,1.18643618162904,1.18844100069391,1.34086954277818,1.18517720601903,1.18517720601903,1.18517720601903
"3",1.35009479513758,1.18619913140941,1.19088063638324,1.18571326851311,1.34735773521021,1.17683375856151,1.17683375856151,1.17683375856151
"4",1.36290786552572,1.20300921787519,1.1993469620923,1.18454802943459,1.32935163775964,1.18558566740717,1.18558566740717,1.18558566740717
"5",1.3512148541581,1.19418917109188,1.19408588540762,1.18839051583075,1.35453357558961,1.18211353743548,1.18211353743548,1.18211353743548
"6",1.34908048828378,1.18901109228251,1.17760910864772,1.18209842168388,1.35631135849088,1.19024400083191,1.19024400083191,1.19024400083191
"7",1.36977117524688,1.1891186920714,1.18817590299899,1.19494573418629,1.33650925067415,1.18209446730361,1.18209446730361,1.18209446730361
"8",1.35500596926088,1.19056678814625,1.18813969781497,1.19090288494979,1.34904110228902,1.1961338500302,1.1961338500302,1.1961338500302
"9",1.35807422288435,1.19014714365584,1.18603999033455,1.19593798887747,1.34030761055591,1.19480301179688,1.19480301179688,1.19480301179688
"10",1.36631842382643,1.20376795068503,1.20197599164778,1.18935413848289,1.3451093145201,1.19143032387006,1.19143032387006,1.19143032387006
"11",1.35692958266475,1.19597462517029,1.19430096305198,1.19509740624605,1.34755517658699,1.17379588789271,1.17379588789271,1.17379588789271
"12",1.35764583744738,1.18232076806129,1.17845772683065,1.18289568230692,1.35001722015928,1.18135775620988,1.18135775620988,1.18135775620988
"13",1.35145725701325,1.20317315466003,1.20275328988679,1.19429293615003,1.34798490017775,1.17951913573549,1.17951913573549,1.17951913573549
"14",1.3594641791629,1.19771206041386,1.19472128647698,1.19243779534978,1.34601098338714,1.19025507251925,1.19025507251925,1.19025507251925
"15",1.35391952927975,1.17830927903749,1.17898688385976,1.18899718189208,1.34007074314676,1.18040162908378,1.18040162908378,1.18040162908378
"16",1.34652301387694,1.17562661682233,1.17485100943937,1.18763206618804,1.33847649553303,1.17020607757161,1.17020607757161,1.17020607757161
"17",1.35331920283488,1.18676808367842,1.18731850004908,1.18270165395598,1.34490072865388,1.19326695785812,1.19326695785812,1.19326695785812
"18",1.35375668577258,1.18643676674079,1.18405094061661,1.17803398040375,1.34102692073713,1.17330639945831,1.17330639945831,1.17330639945831
"19",1.33909400960971,1.18384402546397,1.17596098597384,1.18682492736213,1.34560620261084,1.19035595558463,1.19035595558463,1.19035595558463
"20",1.34805809590409,1.19677163736715,1.19354686064733,1.17404421400341,1.34279968044528,1.18502736058436,1.18502736058436,1.18502736058436
"21",1.34921408396972,1.19191957155436,1.19178420607442,1.19962530049557,1.3397259114551,1.17389287270388,1.17389287270388,1.17389287270388
"22",1.35613963289226,1.19156453300785,1.18625432664739,1.19127872733184,1.33277303146704,1.16845599577872,1.16845599577872,1.16845599577872
"23",1.34675395658332,1.19537664191408,1.19834253680056,1.19326262616858,1.34458807918938,1.19061957172168,1.19061957172168,1.19061957172168
"24",1.35776704270849,1.19960426879736,1.19377225705366,1.18668348685854,1.35230437927567,1.1805714155425,1.1805714155425,1.1805714155425
"25",1.36091652095633,1.18948474549208,1.18530856499294,1.1961207083192,1.33805029323243,1.18025276690875,1.18025276690875,1.18025276690875
"26",1.36090020892484,1.20234011130029,1.20151846000408,1.17685928890231,1.34792200797869,1.1679318873171,1.1679318873171,1.1679318873171
"27",1.36161334627999,1.19243726770339,1.18602960819585,1.16876717876121,1.35660287482748,1.19200650907649,1.19200650907649,1.19200650907649
"28",1.35241163006838,1.1958764842173,1.19274159382638,1.18777076149402,1.35067183572487,1.19265550947014,1.19265550947014,1.19265550947014
"29",1.34192479756126,1.18812549327332,1.1839852927116,1.17428722465271,1.33405590091669,1.1827961499474,1.1827961499474,1.1827961499474
"30",1.35124269071578,1.18709693377727,1.18729544014434,1.19142835630208,1.34191475010693,1.1858375976785,1.1858375976785,1.1858375976785
"31",1.3437491336438,1.19041554014245,1.19048293585693,1.19209467356811,1.34349692356395,1.17506350528692,1.17506350528692,1.17506350528692
"32",1.34379922288982,1.18950454403606,1.18619375359791,1.19740177306786,1.33981666842402,1.18195129463703,1.18195129463703,1.18195129463703
